"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 24 11:03:31 GMT 2022","Thu Nov 24 11:03:37 GMT 2022","6579","","NavBar","","","","Validar Erro ao cadastrar cep invalido",""
"passed","Thu Nov 24 11:03:03 GMT 2022","Thu Nov 24 11:03:11 GMT 2022","7505","","Login","","","","Validar mensagem de erro ao tentar criar conta com senha menor que 6 caracteres",""
"passed","Thu Nov 24 11:02:27 GMT 2022","Thu Nov 24 11:02:40 GMT 2022","12746","","Login","","","","Validar Fazer login com dados valido",""
"passed","Thu Nov 24 11:04:26 GMT 2022","Thu Nov 24 11:04:44 GMT 2022","18608","","NavBar","","","","Validar adicionar produtos ao carrinho",""
"passed","Thu Nov 24 11:03:42 GMT 2022","Thu Nov 24 11:03:47 GMT 2022","5182","","NavBar","","","","Validar Erro ao cadastrar apenas o campo esquedo do cep",""
"failed","Thu Nov 24 11:02:58 GMT 2022","Thu Nov 24 11:03:03 GMT 2022","5515","","Login","","","","Validar mensagem de erro ao tentar criar conta com email ja cadastrado",""
"failed","Thu Nov 24 11:03:22 GMT 2022","Thu Nov 24 11:03:31 GMT 2022","8874","","NavBar","","","","Validar cadastrar cep valido",""
"passed","Thu Nov 24 11:05:07 GMT 2022","Thu Nov 24 11:05:26 GMT 2022","19355","","NavBar","","","","Validar redirecionamento para pagina de login ao finalizar pedido sem estar logado",""
"passed","Thu Nov 24 11:04:44 GMT 2022","Thu Nov 24 11:05:07 GMT 2022","22452","","NavBar","","","","Validar aumentar a quantidade desejada do produto adicionado ao carrinho",""
"failed","Thu Nov 24 11:03:48 GMT 2022","Thu Nov 24 11:03:53 GMT 2022","5484","","NavBar","","","","Validar Erro ao cadastrar apenas o campo direito do cep",""
"passed","Thu Nov 24 11:04:01 GMT 2022","Thu Nov 24 11:04:08 GMT 2022","7325","","NavBar","","","","Validar Mensagem erro quando busco produto invalido",""
"passed","Thu Nov 24 11:03:53 GMT 2022","Thu Nov 24 11:04:01 GMT 2022","7677","","NavBar","","","","Validar Buscar item Existente",""
"failed","Thu Nov 24 11:04:08 GMT 2022","Thu Nov 24 11:04:26 GMT 2022","17510","","NavBar","","","","Validar Busca usando filtros",""
"passed","Thu Nov 24 11:03:37 GMT 2022","Thu Nov 24 11:03:42 GMT 2022","4706","","NavBar","","","","Validar erro ao confimar cep com campos vazios",""
"failed","Thu Nov 24 11:02:46 GMT 2022","Thu Nov 24 11:02:58 GMT 2022","11682","","Login","","","","Validar Fazer login com senha incorreta",""
"passed","Thu Nov 24 11:02:40 GMT 2022","Thu Nov 24 11:02:46 GMT 2022","5754","","Login","","","","Validar Mensagem Error ao Fazer login com Email Invalido",""
"passed","Thu Nov 24 11:03:11 GMT 2022","Thu Nov 24 11:03:17 GMT 2022","6323","","Login","","","","Validar mensagem de error ao tentar criar conta confirmando senha diferente da senha inserida",""
