"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 24 08:03:53 BRT 2022","Thu Nov 24 08:04:01 BRT 2022","7677","","NavBar","","","","Validar Buscar item Existente",""
"passed","Thu Nov 24 08:02:40 BRT 2022","Thu Nov 24 08:02:46 BRT 2022","5754","","Login","","","","Validar Mensagem Error ao Fazer login com Email Invalido",""
"passed","Thu Nov 24 08:03:42 BRT 2022","Thu Nov 24 08:03:47 BRT 2022","5182","","NavBar","","","","Validar Erro ao cadastrar apenas o campo esquedo do cep",""
"passed","Thu Nov 24 08:04:44 BRT 2022","Thu Nov 24 08:05:07 BRT 2022","22452","","NavBar","","","","Validar aumentar a quantidade desejada do produto adicionado ao carrinho",""
"failed","Thu Nov 24 08:03:31 BRT 2022","Thu Nov 24 08:03:37 BRT 2022","6579","","NavBar","","","","Validar Erro ao cadastrar cep invalido",""
"passed","Thu Nov 24 08:03:37 BRT 2022","Thu Nov 24 08:03:42 BRT 2022","4706","","NavBar","","","","Validar erro ao confimar cep com campos vazios",""
"passed","Thu Nov 24 08:03:11 BRT 2022","Thu Nov 24 08:03:17 BRT 2022","6323","","Login","","","","Validar mensagem de error ao tentar criar conta confirmando senha diferente da senha inserida",""
"failed","Thu Nov 24 08:02:58 BRT 2022","Thu Nov 24 08:03:03 BRT 2022","5515","","Login","","","","Validar mensagem de erro ao tentar criar conta com email ja cadastrado",""
"passed","Thu Nov 24 08:04:01 BRT 2022","Thu Nov 24 08:04:08 BRT 2022","7325","","NavBar","","","","Validar Mensagem erro quando busco produto invalido",""
"passed","Thu Nov 24 08:04:26 BRT 2022","Thu Nov 24 08:04:44 BRT 2022","18608","","NavBar","","","","Validar adicionar produtos ao carrinho",""
"failed","Thu Nov 24 08:03:22 BRT 2022","Thu Nov 24 08:03:31 BRT 2022","8874","","NavBar","","","","Validar cadastrar cep valido",""
"failed","Thu Nov 24 08:03:48 BRT 2022","Thu Nov 24 08:03:53 BRT 2022","5484","","NavBar","","","","Validar Erro ao cadastrar apenas o campo direito do cep",""
"failed","Thu Nov 24 08:04:08 BRT 2022","Thu Nov 24 08:04:26 BRT 2022","17510","","NavBar","","","","Validar Busca usando filtros",""
"passed","Thu Nov 24 08:02:27 BRT 2022","Thu Nov 24 08:02:40 BRT 2022","12746","","Login","","","","Validar Fazer login com dados valido",""
"passed","Thu Nov 24 08:03:03 BRT 2022","Thu Nov 24 08:03:11 BRT 2022","7505","","Login","","","","Validar mensagem de erro ao tentar criar conta com senha menor que 6 caracteres",""
"failed","Thu Nov 24 08:02:46 BRT 2022","Thu Nov 24 08:02:58 BRT 2022","11682","","Login","","","","Validar Fazer login com senha incorreta",""
"passed","Thu Nov 24 08:05:07 BRT 2022","Thu Nov 24 08:05:26 BRT 2022","19355","","NavBar","","","","Validar redirecionamento para pagina de login ao finalizar pedido sem estar logado",""
